name,class,branch,faction,stars,position,tags,trait,availability,icon,description,phrase,file_no.,gender,height,mobility,endurance,internal_name,base_hp,elite_1_hp,elite_2_hp,max_hp,trust_hp,base_atk,elite_1_atk,elite_2_atk,max_atk,trust_atk,base_def,elite_1_def,elite_2_def,max_def,trust_def,base_res,elite_1_res,elite_2_res,max_res,base_redeploy,elite_1_redeploy,elite_2_redeploy,max_redeploy,base_dp_cost,elite_1_dp_cost,elite_2_dp_cost,max_dp_cost,base_block,elite_1_block,elite_2_block,max_block,base_interval,elite_1_interval,elite_2_interval,max_interval,images,experience,place_of_birth,date_of_birth,race,infection_status,strength,tactical_acumen,combat_skill,arts_adaptability
Ansel,Medic,Medic,Rhodes Island Operations Reserve Team A4,3-star,Ranged,['Healing'],Restores the HP of allies,Headhunting; Recruitment; 0-10,https://static.wikia.nocookie.net/mrfz/images/7/71/Ansel_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082403,"Ansel, Medic Operator of Rhodes Island, will provide various first aid solutions for the squad.","Do your best, Ansel!",PA43,Male,163 cm,Standard,Normal,char_212_ansel,634,907,1135,–,,156,257,362,–,45.0,60,81,109,–,,0,0,0,–,70s,70s,70s,–,15,15,17,–,1,1,1,–,2.85s,2.85s,2.85s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/ad/Ansel.png/revision/latest?cb=20190620082404', 'Casual Vacation HDm06': 'https://static.wikia.nocookie.net/mrfz/images/f/f0/Ansel_Skin_1.png/revision/latest?cb=20200214205210'}",Half a year,Rim Billiton,January 31st,Cautus,"Originium crystals have not been found on the surface of his body, confirming no infection.",Normal,Normal,Standard,Standard
Beagle,Defender,Protector,Rhodes Island Operations Reserve Team A1,3-star,Melee,['Defense'],Blocks 3 enemies,Headhunting; Recruitment; TR-7,https://static.wikia.nocookie.net/mrfz/images/6/6f/Beagle_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082405,"Beagle, Defender Operator of Rhodes Island, will provide a solid defense for the squad.",Try to encourage her more.,PA14,Female,154 cm,Normal,Excellent,char_122_beagle,1144,1526,2035,–,,184,236,295,–,,242,362,490,–,60.0,0,0,0,–,70s,70s,70s,–,16,16,18,–,3,3,3,–,1.2s,1.2s,1.2s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/f/fc/Beagle.png/revision/latest?cb=20190620082407', 'Dreadnaught': 'https://static.wikia.nocookie.net/mrfz/images/7/74/Beagle_Skin_1.png/revision/latest?cb=20200719112137'}",1 year,Bolívar,March 2nd,Perro,Infection confirmed by medical examination.,Excellent,Normal,Standard,Normal
Cardigan,Defender,Protector,Rhodes Island Operations Reserve Team A4,3-star,Melee,['Defense'],Blocks 3 enemies,Headhunting,https://static.wikia.nocookie.net/mrfz/images/b/b7/Cardigan_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082455,"Cardigan, Defender Operator of Rhodes Island, will run to the battlefield to provide reliable defense for the squad.",If only she could quiet down for a while...,PA45,Female,156 cm,Excellent,Standard,char_209_ardign,1197,1597,2130,–,300.0,190,244,305,–,,229,342,475,–,,0,0,0,–,70s,70s,70s,–,16,16,18,–,3,3,3,–,1.2s,1.2s,1.2s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/5/5b/Cardigan.png/revision/latest?cb=20190620082456', 'Cheerful Guardian': 'https://static.wikia.nocookie.net/mrfz/images/5/5f/Cardigan_Skin_1.png/revision/latest?cb=20200201081846'}",Half a year,Leithanien,August 2nd,Perro,"Originium crystals have not been found on the surface of the body, confirming there is no infection.",Normal,Normal,Normal,Normal
Catapult,Sniper,Artilleryman,Rhodes Island Operations Reserve Team A6,3-star,Ranged,['AoE'],Deals AOE Physical Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/9/92/Catapult_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082525,"Catapult, Sniper Operator of Rhodes Island, is an expert at dealing with large targets.","She can barely follow the Operator Regulations, but you'll never find her working overtime.",PA63,Female,163 cm,Excellent,Normal,char_282_catap,736,920,1150,–,,340,487,617,–,55.0,51,67,85,–,,0,0,0,–,70s,70s,70s,–,21,21,23,–,1,1,1,–,2.8s,2.8s,2.8s,–,{'Catapult': 'https://static.wikia.nocookie.net/mrfz/images/5/51/Catapult.png/revision/latest?cb=20190620082526'},1 year,Kazimierz,August 8th,Kuranta,"Crystals visible on surface, infection confirmed by medical report.",Standard,Normal,Standard,Standard
Fang,Vanguard,Pioneer,Rhodes Island Operations Reserve Team A1,3-star,Melee,['DP-Recovery'],Blocks 2 enemies,Headhunting; Recruitment; TR-4,https://static.wikia.nocookie.net/mrfz/images/4/46/Fang_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082700,"Fang, Vanguard Operator of Rhodes Island, will fight on the battlefield to give the squad a tactical advantage.",She runs really fast.,PA11,Female,158 cm,Excellent,Normal,char_123_fang,742,1060,1325,–,,157,235,325,–,,130,187,260,–,50.0,0,0,0,–,70s,70s,70s,–,9,9,11,–,2,2,2,–,1.05s,1.05s,1.05s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/c/c3/Fang.png/revision/latest?cb=20190713060430', 'Cruciata': 'https://static.wikia.nocookie.net/mrfz/images/d/d8/Fang_Skin_1.png/revision/latest?cb=20200220075137'}",1 year,Kazimierz,December 2nd,Kuranta,Medical tests confirm she is infected.,Normal,Normal,Normal,Normal
Hibiscus,Medic,Medic,Rhodes Island Operations Reserve Team A1,3-star,Ranged,['Healing'],Restores the HP of allies,Headhunting; Recruitment; TR-1,https://static.wikia.nocookie.net/mrfz/images/6/67/Hibiscus_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082900,"Hibiscus, Medic Operator of Rhodes Island, will provide reliable medical care for the wounded.",Please handle her relationship with Operator Lava carefully.,PA13,Female,153 cm,Normal,Normal,char_120_hibisc,682,975,1220,–,,153,248,345,–,45.0,61,82,110,–,,0,0,0,–,70s,70s,70s,–,15,15,17,–,1,1,1,–,2.85s,2.85s,2.85s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/6/6a/Hibiscus.png/revision/latest?cb=20190627031809', 'Night Watcher': 'https://static.wikia.nocookie.net/mrfz/images/0/02/Hibiscus_Skin_1.png/revision/latest?cb=20200220074300'}",1 year,Victoria,June 21st,Sarkaz,Infection confirmed by medical examination.,Normal,Standard,Normal,Standard
Kroos,Sniper,Marksman,Rhodes Island Operations Reserve Team A1,3-star,Ranged,['DPS'],Attacks aerial enemies first,Headhunting; Recruitment; TR-8,https://static.wikia.nocookie.net/mrfz/images/6/64/Kroos_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082932,"Kroos, Sniper Operator of Rhodes Island, will interrupt the enemies' attacks with her crossbow.",She is always aiming at her target.,PA12,Female,154 cm,Standard,Normal,char_124_kroos,545,826,1060,–,,154,258,375,–,50.0,52,88,126,–,,0,0,0,–,70s,70s,70s,–,9,9,11,–,1,1,1,–,1s,1s,1s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/84/Kroos.png/revision/latest?cb=20190627031807', 'the mag': 'https://static.wikia.nocookie.net/mrfz/images/f/f0/Kroos_Skin_1.png/revision/latest?cb=20210618044856'}",1 year,Rim Billiton,November 22nd,Cautus,Infection confirmed by medical examination.,Normal,Standard,Excellent,Normal
Lava,Caster,Splash,Rhodes Island Operations Reserve Team A1,3-star,Ranged,['AoE'],Deals AOE Arts Damage,Headhunting; Recruitment; 0-8,https://static.wikia.nocookie.net/mrfz/images/3/3e/Lava_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082934,"Lava, Caster Operator of Rhodes Island, will make way for the squad with her Originium Arts.",Please handle her relationship with Operator Hibiscus carefully.,PA15,Female,154 cm,Normal,Normal,char_121_lava,614,878,1141,–,,321,453,582,–,60.0,41,69,95,–,,10,10,15,–,70s,70s,70s,–,27,27,30,–,1,1,1,–,2.9s,2.9s,2.9s,–,{'Lava': 'https://static.wikia.nocookie.net/mrfz/images/2/27/Lava.png/revision/latest?cb=20190627031809'},Half a year,Victoria,June 22nd,Sarkaz,Infection confirmed by medical examination.,Normal,Normal,Standard,Standard
Melantha,Guard,Dreadnought,Rhodes Island Operations Reserve Team A4,3-star,Melee,"['DPS', 'Survival']",Blocks 1 enemy,Headhunting; Recruitment; 0-11,https://static.wikia.nocookie.net/mrfz/images/2/27/Melantha_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083006,"Melantha, Guard Operator of Rhodes Island, will provide outstanding attack power for the squad.",Never underestimate her blade.,PA41,Female,161 cm,Excellent,Normal,char_208_melan,1395,1993,2745,–,,396,583,738,–,65.0,83,119,155,–,,0,0,0,–,70s,70s,70s,–,13,13,15,–,1,1,1,–,1.5s,1.5s,1.5s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/7/72/Melantha.png/revision/latest?cb=20190713060428', 'Letters from Wesex': 'https://static.wikia.nocookie.net/mrfz/images/3/35/Melantha_Skin_1.png/revision/latest?cb=20200201081846'}",Half a year,Victoria,March 19th,Feline,"According to medical tests, infection is confirmed.",Excellent,Standard,Standard,Normal
Midnight,Guard,Lord,Rhodes Island Operations Reserve Team A6,3-star,Melee,['DPS'],Can launch Ranged Attacks that deal 80% of normal ATK,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/9/9a/Midnight_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083052,"Midnight, Guard Operator of Rhodes Island, will dispose of enemies with his swordsmanship.","Surprisingly, he's quite skilled at fighting. Impressive.",PA62,Male,187 cm,Standard,Excellent,char_283_midn,879,1256,1653,–,,252,372,497,–,50.0,162,222,282,–,,5,5,10,–,70s,70s,70s,–,14,14,16,–,2,2,2,–,1.3s,1.3s,1.3s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/f/fe/Midnight.png/revision/latest?cb=20190627032123', ""Seventh Night's Awakened"": 'https://static.wikia.nocookie.net/mrfz/images/c/cb/Midnight_Skin_1.png/revision/latest?cb=20200501183634'}",None,Far East,May 20th,Sarkaz,Infection confirmed through clinical diagnosis.,Standard,Normal,Standard,Excellent
Orchid,Supporter,Decel Binder,Rhodes Island Operations Reserve Team A6,3-star,Ranged,['Slow'],Deals Arts Damage and Slows the target for a short time,Headhunting; Recruitment; 1-7,https://static.wikia.nocookie.net/mrfz/images/6/6f/Orchid_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083135,"Orchid, Supporter Operator of Rhodes Island, will provide support for the squad with her Originium Arts.",Make sure every second of her work time is recorded.,PA61,Female,164 cm,Normal,Normal,char_278_orchid,553,738,935,–,,192,283,378,–,40.0,44,64,83,–,,10,10,10,–,70s,70s,70s,–,10,10,12,–,1,1,1,–,1.9s,1.9s,1.9s,–,{'Orchid': 'https://static.wikia.nocookie.net/mrfz/images/3/3f/Orchid.png/revision/latest?cb=20190627032123'},None,Columbia,January 15th,Liberi,"Showed physical sign of Originium, infection confirmed.",Normal,Standard,Standard,Excellent
Plume,Vanguard,Charger,Laterano,3-star,Melee,"['DPS', 'DP-Recovery']",Obtain 1 DP after this unit defeats an enemy; Refunds the original DP Cost when retreated,Headhunting; Recruitment; 0-5,https://static.wikia.nocookie.net/mrfz/images/2/20/Plume_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083233,"Plume, Vanguard Operator of Rhodes Island, will provide reliable defense for the squad and hold back the enemy.",A guard of Laterano who looks serious all the time.,LT05,Female,158 cm,Excellent,Normal,char_192_falco,688,956,1226,–,,229,333,445,–,50.0,148,212,279,–,,0,0,0,–,70s,70s,70s,–,8,8,10,–,1,1,1,–,1s,1s,1s,–,{'Plume': 'https://static.wikia.nocookie.net/mrfz/images/7/75/Plume.png/revision/latest?cb=20190627032125'},1 year,Laterano,October 28th,Liberi,Non-infection as confirmed by medical report.,Standard,Normal,Standard,Normal
Popukar,Guard,Centurion,Rhodes Island Operations Reserve Team A6,3-star,Melee,"['AoE', 'Survival']",Attacks all blocked enemies[note 1],Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/0/01/Popukar_icon.png/revision/latest/scale-to-width-down/120?cb=20190713060140,"Popukar, Guard Operator of Rhodes Island, will use her chainsaw to drive away enemies that pose a threat to the Doctor.","A good girl when she behaves herself, but a devil when she goes out of control.",PA65,Female,144 cm,Normal,Normal,char_281_popka,1130,1449,1858,–,,263,366,495,–,50.0,126,181,245,–,,0,0,0,–,70s,70s,70s,–,17,17,19,–,2,2,2,–,1.2s,1.2s,1.2s,–,{'Popukar': 'https://static.wikia.nocookie.net/mrfz/images/d/db/Popukar.png/revision/latest?cb=20190713060140'},4 years,Rim Billiton,July 2nd,Cautus,"Crystals visible on surface, infection confirmed.",Excellent,Normal,Normal,Standard
Spot,Defender,Guardian,Rhodes Island Operations Reserve Team A6,3-star,Melee,"['Defense', 'Healing']",Can heal allies by using the skill,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/8/87/Spot_icon.png/revision/latest/scale-to-width-down/120?cb=20190713060141,"Spot, Defender Operator of Rhodes Island, will provide basic medical care while defending against enemies.",He seems polite and gentle... until he opens his mouth.,PA64,Male,169 cm,Normal,Excellent,char_284_spot,1057,1429,1833,–,,165,236,320,–,30.0,225,331,442,–,30.0,10,10,10,–,70s,70s,70s,–,15,15,17,–,2,2,3,–,1.2s,1.2s,1.2s,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/6/63/Spot.png/revision/latest?cb=20190713060141', 'Professional': 'https://static.wikia.nocookie.net/mrfz/images/7/7f/Spot_Skin_1.png/revision/latest?cb=20210503051328'}",1 year,Sargon,April 30th,Rebbah,"Crystals visible on surface, infection confirmed by medical report.",Standard,Normal,Standard,Standard
Steward,Caster,Core,Rhodes Island Operations Reserve Team A4,3-star,Ranged,['DPS'],Deals Arts Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/9/90/Steward_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083526,"Steward, Caster Operator of Rhodes Island, will make way for the squad with his Originium Arts.",Mr. Nice Guy of Reserve Squad A4.,PA42,Male,172 cm,Standard,Normal,char_210_stward,592,847,1100,–,,249,357,470,–,50.0,38,65,90,–,,10,10,15,–,70s,70s,70s,–,16,16,18,–,1,1,1,–,1.6s,1.6s,1.6s,–,{'Steward': 'https://static.wikia.nocookie.net/mrfz/images/e/ee/Steward.png/revision/latest?cb=20190627031805'},Half a year,Kjerag,December 24th,Vulpo,Infection confirmed by medical examination.,Normal,Normal,Standard,Standard
Vanilla,Vanguard,Pioneer,Blacksteel,3-star,Melee,['DP-Recovery'],Blocks 2 enemies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/3/36/Vanilla_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083527,"Vanilla, Vanguard Operator of Blacksteel, will make way for the squad on the battlefield with her professional skills.",Don't let her know if you meet any wild animals.,BS04,Female,172 cm,Standard,Excellent,char_240_wyvern,711,1016,1270,–,,168,248,355,–,50.0,128,184,240,–,,0,0,0,–,70s,70s,70s,–,9,9,11,–,2,2,2,–,1.05s,1.05s,1.05s,–,{'Vanilla': 'https://static.wikia.nocookie.net/mrfz/images/d/d5/Vanilla.png/revision/latest?cb=20190627032124'},1 year,Vouivre,February 16th,Vouivre,Non-infected as confirmed by medical report.,Standard,Normal,Standard,Normal
Aciddrop,Sniper,Heavyshooter,Columbia,4-star,Ranged,['DPS'],High accuracy point-blank shot,Headhunting,https://static.wikia.nocookie.net/mrfz/images/7/77/Aciddrop_icon.png/revision/latest/scale-to-width-down/120?cb=20200825104807,"Aciddrop, Rhodes Island Operator, is a free-spirited skateboard warrior.",Goes around in circles for a week before hitting the target.,R139,Female,150 cm,Excellent,Standard,char_366_acdrop,671,933,1197,1576,,313,429,565,735,80.0,79,114,152,209,,0,0,0,0,70s,70s,70s,70s,14,14,16,18,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/d/dd/Aciddrop.png/revision/latest?cb=20200825104950', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/9/96/Aciddrop_Elite_2.png/revision/latest?cb=20200929161951'}",1 year,Columbia,August 13th,Liberi,Confirmed infected by medical examination.,Standard,Normal,Standard,Standard
Ambriel,Sniper,Deadeye,Laterano,4-star,Ranged,"['DPS', 'Slow']",Prioritizes attacking the enemy with lowest DEF within range first,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/5/53/Ambriel_icon.png/revision/latest/scale-to-width-down/120?cb=20200201060352,"Ambriel, Sniper Operator of Rhodes Island, has her sights on your back from somewhere you cannot see.","A well-rounded and capable sniper, as long as she doesn't doze off.",LT02,Female,160 cm,Standard,Normal,char_302_glaze,785,1020,1276,1595,,437,608,801,977,75.0,60,80,100,122,,0,0,0,0,70s,70s,70s,70s,18,18,20,20,1,1,1,1,2.7s,2.7s,2.7s,2.7s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/b/ba/Ambriel.png/revision/latest?cb=20200201060116', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/7/70/Ambriel_Elite_2.png/revision/latest?cb=20200201060114'}",1 year,Laterano,January 13th,Sankta,Confirmed uninfected by medical examination.,Normal,Standard,Standard,Standard
Arene,Guard,Lord,Laterano,4-star,Melee,['DPS'],Can launch Ranged Attacks that deal 80% of normal ATK,Headhunting,https://static.wikia.nocookie.net/mrfz/images/a/ad/Arene_icon.png/revision/latest/scale-to-width-down/120?cb=20200924072146,"Vanguard[sic] Operator Arene, always taking pleasure in toying with his enemies on the field.",Don't come too close. It's dangerous.,LT06,Male,161 cm,Normal,Normal,char_271_spikes,945,1350,1777,2250,,263,388,518,640,55.0,162,222,282,340,,5,5,10,10,70s,70s,70s,70s,16,16,18,18,2,2,2,2,1.3s,1.3s,1.3s,1.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/3/3a/Arene.png/revision/latest?cb=20200924035217', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/5/51/Arene_Elite_2.png/revision/latest?cb=20200924035223', 'Casual': 'https://static.wikia.nocookie.net/mrfz/images/b/b6/Arene_Skin_1.png/revision/latest?cb=20210406095927'}",Half a year,Laterano,September 7th,Sankta,Crystals have appeared on his body. Infection confirmed by medical examination.,Normal,Excellent,Normal,Excellent
