title,episodes,writers,genres,badges,link,cover
Fatal Lessons in this Pandemic,15,"['LObeam', 'Rodong ']","['Romance', 'Drama']","['18+', 'Up', 'New']",https://toomics.com/en/webtoon/episode/toon/5819,https://thumb-g1.toomics.com/upload/thumbnail/20220104143132/2022_01_07_16415246583810.jpg
Crossing the Line,27,['An19 '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5619,https://thumb-g1.toomics.com/upload/thumbnail/20210603150033/2021_06_09_16232305822710.jpg
Old Friend,33,"['Ma Dong Sung', 'Goollabjamoon ']",['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5335,https://thumb-g1.toomics.com/upload/thumbnail/20210525153615/2021_06_10_16233178490870.jpg
Extra Credit,117,['★9 '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5105,https://thumb-g1.toomics.com/upload/thumbnail/20191206152548/2019_12_18_15766595150071.jpg
The Secret Friend,110,['S.L.co Ella '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5009,https://thumb-g1.toomics.com/upload/thumbnail/20190115104526/2020_08_18_15977189817811.jpg
All About That Game Life,16,['Kongbbaemi '],"['Romance', 'Drama']","['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5815,https://thumb-g1.toomics.com/upload/thumbnail/20211223151131/2021_12_30_16408507872890.jpg
Sister-in-law,29,"['Beoltteok', 'Rapid Locomotive ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5247,https://thumb-g1.toomics.com/upload/thumbnail/20200821103249/2020_08_21_15979740290825.jpg
What do I do now...?,9,"['Team Biyam', 'Soomatana ']","['Romance', 'School life']","['18+', 'Up', 'New']",https://toomics.com/en/webtoon/episode/toon/5814,https://thumb-g2.toomics.com/upload/thumbnail/20220211105702/2022_02_23_16456030481531.jpg
Private Lessons,27,['FACON '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5868,https://thumb-g2.toomics.com/upload/thumbnail/20210823140055/2021_08_27_16300419930401.jpg
Collapse & Rewind,65,"['Lemoncandy', 'Rodong ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5211,https://thumb-g1.toomics.com/upload/thumbnail/20200205103558/2020_02_11_15814133086332.jpg
Dog on Patrol,56,"['G-goon', 'C.Dyce ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5206,https://thumb-g2.toomics.com/upload/thumbnail/20200212101109/2020_03_19_15845807585313.jpg
Midnight PC Cafe,29,['Libido '],['Drama'],"['18+', 'Up']",https://toomics.com/en/webtoon/episode/toon/5337,https://thumb-g1.toomics.com/upload/thumbnail/20210524152638/2021_05_24_16218382793246.jpg
"Excuse Me, This is my Room",25,"['LObeam', 'kook ']","['Drama', 'Romance']",[],https://toomics.com/en/webtoon/episode/toon/5941,https://thumb-g1.toomics.com/upload/thumbnail/20211007182201/2021_10_08_16336614955056.jpg
Annoying Alice,98,"['Lee Hyunmin', 'Miyune ']","['Drama', 'Romance']",['End'],https://toomics.com/en/webtoon/episode/toon/4866,https://thumb-g2.toomics.com/upload/thumbnail/20180629102024/2020_08_18_15977343088979.jpg
Never Too Late,125,"['Mchalo', 'Seopade ']","['Drama', 'Romance']","['18+', 'Up']",https://toomics.com/en/webtoon/episode/toon/5140,https://thumb-g2.toomics.com/upload/thumbnail/20191017165711/2019_10_17_15712997352261.jpg
Milk Therapy,28,"['New Leap', '19Teddy ']",['Drama'],"['18+', 'Up']",https://toomics.com/en/webtoon/episode/toon/5818,https://thumb-g2.toomics.com/upload/thumbnail/20210930153003/2021_09_30_16329843491090.jpg
God Model,30,"['Manaman', 'Transformer Mask ']","['Drama', 'Romance']",['18+'],https://toomics.com/en/webtoon/episode/toon/5455,https://thumb-g1.toomics.com/upload/thumbnail/20210910075800/2021_09_13_16314958691292.jpg
Daddy Long Legs,39,"['Ssome', 'Leegyu ']",['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5391,https://thumb-g1.toomics.com/upload/thumbnail/20210303165052/2021_03_09_16152728887427.jpg
Naughty Little Secret,24,"['Hwang Gunjuk', 'Woowong Panda ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5340,https://thumb-g2.toomics.com/upload/thumbnail/20211005203242/2021_10_06_16334885852619.jpg
Single Again,16,"['Anchovy', 'Chung Yuja ']",['Drama'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5683,https://thumb-g1.toomics.com/upload/thumbnail/20211124134734/2021_11_24_16377315146580.jpg
With Chloe,8,['Wangjamjari '],['Drama'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5824,https://thumb-g2.toomics.com/upload/thumbnail/20211221122124/2021_12_21_16400570519807.jpg
Who Cares If I'm a Loser!,34,"['Gao ', 'Hong BanJang ']","['Drama', 'Romance']",['18+'],https://toomics.com/en/webtoon/episode/toon/5615,https://thumb-g1.toomics.com/upload/thumbnail/20210804175407/2021_08_10_16285609756196.jpg
The Mismatch,44,['Facon '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5663,https://thumb-g1.toomics.com/upload/thumbnail/20210601170441/2021_06_04_16227332231048.jpg
Leviathan,204,"['Lee Gyuntak', 'Noh Miyoung ']","['Fantasy', 'Action']",[],https://toomics.com/en/webtoon/episode/toon/4727,https://thumb-g1.toomics.com/upload/thumbnail/20180730102539/2021_03_25_16166340439048.jpg
The Perfect Roommates,70,['Andromeda11 '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5210,https://thumb-g2.toomics.com/upload/thumbnail/20191216174518/2019_12_17_15765662420417.jpg
The White Room,64,"['Studio Moon', 'Jo Seungjae ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/2257,https://thumb-g1.toomics.com/upload/thumbnail/20160212_TheWhiteRoom/2020_08_18_15977345012460.jpg
Newfound Partners,27,['FACON '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5840,https://thumb-g2.toomics.com/upload/thumbnail/20210907075116/2021_09_27_16327222543769.jpg
Liebling!,138,['Kim Nuruk '],"['BL', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/4907,https://thumb-g1.toomics.com/upload/thumbnail/20180614114147/2020_11_25_16062912068681.jpg
CEO's Sudden Proposal,121,['qinye '],['Romance'],['Up'],https://toomics.com/en/webtoon/episode/toon/6027,https://thumb-g1.toomics.com/upload/thumbnail/20210719152144/2021_07_26_16272886103683.jpg
"No More, No Less",6,"['Sole King V', 'Kore ']",['Romance'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5808,https://thumb-g2.toomics.com/upload/thumbnail/20220228103914/2022_02_28_16460129091407.jpg
A Killer Woman,112,['Seokhyeon '],['Romance'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5115,https://thumb-g1.toomics.com/upload/thumbnail/20190718181257/2019_07_18_15634417258277.jpg
No Way Out,18,"['New Leap', 'H.Roma ']",['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5909,https://thumb-g1.toomics.com/upload/thumbnail/20211124134828/2021_11_24_16377313910627.jpg
Our Exchange,114,"['Saiko', 'Dane ']",['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/4855,https://thumb-g1.toomics.com/upload/thumbnail/20200211174743/2020_02_11_15814112102419.jpg
Your Turn to Chase After Me,110,['qiyuelinran '],"['Romance', 'Drama']",['End'],https://toomics.com/en/webtoon/episode/toon/6028,https://thumb-g2.toomics.com/upload/thumbnail/20210719160247/2021_07_27_16273511944036.jpg
My Stepmom's Plan,30,['FACON '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5660,https://thumb-g2.toomics.com/upload/thumbnail/20210426135945/2021_04_27_16195115646752.jpg
Project Utopia,179,['Studio Moon '],"['Drama', 'Horror']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/1694,https://thumb-g2.toomics.com/upload/thumbnail/20150812_UT/2020_08_24_15982374990079.jpg
Why Is it You?,50,['Nansae '],"['BL', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5147,https://thumb-g1.toomics.com/upload/thumbnail/20190917121500/2019_09_17_15686901757460.jpg
My Husband's a Twin!,8,"['Bill Kang', 'Taewook Lee ']",['Drama'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5821,https://thumb-g1.toomics.com/upload/thumbnail/20220208120334/2022_02_08_16442898894987.jpg
The Unwanted Roommate,19,"['JQ', 'FUNCH STUDIO ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5019,https://thumb-g1.toomics.com/upload/thumbnail/20190124111616/2020_08_24_15982303465862.jpg
Salamander,35,['Abyo4 / Bolp. '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5356,https://thumb-g2.toomics.com/upload/thumbnail/20210421013151/2021_06_07_16230249010035.jpg
Find That Girl,8,['Dirtyjoke '],['Drama'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5141,https://thumb-g1.toomics.com/upload/thumbnail/20200519124005/2020_05_26_15904540092765.jpg
My Friend's Dad,75,"['KOI', 'Happygra ']","['Romance', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/2509,https://thumb-g1.toomics.com/upload/thumbnail/20160522_ffafa/2020_08_18_15977323342506.jpg
Misplaced,8,"['Midam', 'Kim Namhong ']",['Drama'],"['18+', 'New']",https://toomics.com/en/webtoon/episode/toon/5223,https://thumb-g1.toomics.com/upload/thumbnail/20220120145251/2022_01_20_16426582417458.jpg
Family Secret,34,['Facon '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5668,https://thumb-g2.toomics.com/upload/thumbnail/20210601170056/2021_06_07_16230526321451.jpg
Inexperienced,28,"['Paldo Sung', 'Human Soup ']","['Drama', 'Romance']",['18+'],https://toomics.com/en/webtoon/episode/toon/5355,https://thumb-g1.toomics.com/upload/thumbnail/20210224152022/2021_02_25_16142333836790.jpg
Boss in School,118,"['Lee Hoon Young', 'Kim Ui-Gwon ']","['School life', 'Action']",['End'],https://toomics.com/en/webtoon/episode/toon/4644,https://thumb-g2.toomics.com/upload/thumbnail/20170206_boss_in_school/2020_08_18_15977301553816.jpg
The Spot Master,60,"['Kim Heung-gun', 'Handler ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/4597,https://thumb-g1.toomics.com/upload/thumbnail/20161202_sexyspot/2020_08_18_15977311714627.jpg
Magnetic Pull,24,['Wettoonie '],['Drama'],"['18+', 'Up']",https://toomics.com/en/webtoon/episode/toon/5345,https://thumb-g1.toomics.com/upload/thumbnail/20210902101632/2021_09_02_16305460567080.jpg
Her Summon,117,['Park Jinjoon '],"['Fantasy', 'Action']",['End'],https://toomics.com/en/webtoon/episode/toon/4724,https://thumb-g2.toomics.com/upload/thumbnail/20180712150208/2020_08_18_15977332112629.jpg
Totally Captivated Stories,126,['Hajin Yoo '],"['BL', 'Drama']",['End'],https://toomics.com/en/webtoon/episode/toon/6057,https://thumb-g1.toomics.com/upload/thumbnail/20210720164201/2021_10_14_16341955308712.jpg
Distractions,23,"['LObeam', 'shimzo ']",['Drama'],"['18+', 'Up']",https://toomics.com/en/webtoon/episode/toon/5347,https://thumb-g1.toomics.com/upload/thumbnail/20211116154720/2021_11_19_16373051122616.jpg
Rain Curtain,40,"['Jay', 'Kay ']","['Romance', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5003,https://thumb-g1.toomics.com/upload/thumbnail/20190624111915/2019_07_03_15621345263804.jpg
The Maids of the Mansion,46,['FACON '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5669,https://thumb-g1.toomics.com/upload/thumbnail/20210601125147/2021_06_01_16225272966972.jpg
You're No Good,103,['Arem '],"['Romance', 'School life']",['End'],https://toomics.com/en/webtoon/episode/toon/5162,https://thumb-g2.toomics.com/upload/thumbnail/20190917121330/2021_04_30_16197431851547.jpg
"Mommy,Where's My Daddy?",57,['xiaoman '],"['Drama', 'Romance']",['End'],https://toomics.com/en/webtoon/episode/toon/6035,https://thumb-g1.toomics.com/upload/thumbnail/20210719162100/2021_08_20_16294243392852.jpg
Our Future,46,['Cheok Kong '],"['BL', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5192,https://thumb-g2.toomics.com/upload/thumbnail/20200407130026/2020_04_23_15876123676148.jpg
Red Velvet,80,['Andrian J. Adilia '],"['Drama', 'Romance']",['End'],https://toomics.com/en/webtoon/episode/toon/5999,https://thumb-g1.toomics.com/upload/thumbnail/20210712133954/2021_09_02_16305707518121.jpg
The Family Tree,52,"['Won Hagyun', 'Dingoo ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5195,https://thumb-g1.toomics.com/upload/thumbnail/20191113180351/2019_11_13_15736360709332.jpg
Town Girls,50,"['Ha Gyoon Won', 'Garen ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5334,https://thumb-g2.toomics.com/upload/thumbnail/20210222144016/2021_02_24_16141226822323.jpg
Lowlife,81,"['Lee Hwaseong', 'Lee Taewook ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5091,https://thumb-g1.toomics.com/upload/thumbnail/20200226161850/2020_02_26_15827043211161.jpg
Secret Neighbors,70,['SOMEDAY '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/4885,https://thumb-g1.toomics.com/upload/thumbnail/20180920172002/2020_08_18_15977354697538.jpg
Friends,40,"['ATZ', 'Momo ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5184,https://thumb-g2.toomics.com/upload/thumbnail/20200915115401/2020_09_16_16002343791055.jpg
Drug Candy,44,['Lee Hyunmin '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5125,https://thumb-g1.toomics.com/upload/thumbnail/20190617151834/2019_06_17_15607529409134.jpg
Food Chain,40,['Smoke Joker / Keyboard Warrior '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5188,https://thumb-g2.toomics.com/upload/thumbnail/20200916171331/2020_09_17_16002984155161.jpg
The Perfect Roommates,12,['Andromeda11 '],['Drama'],['New'],https://toomics.com/en/webtoon/episode/toon/6218,https://thumb-g2.toomics.com/upload/thumbnail/20211206172546/2021_12_07_16388393449924.jpg
Family Business,40,['Facon '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/5671,https://thumb-g1.toomics.com/upload/thumbnail/20210628140239/2021_06_28_16248571197431.jpg
Recessive Omega K's Secret [Season 1],37,"['ChunDoa', 'Baaram ']","['BL', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5617,https://thumb-g1.toomics.com/upload/thumbnail/20210628150513/2021_06_30_16250074240110.jpg
The Unexpected Guest,36,"['Aena', 'Mongddang ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5241,https://thumb-g1.toomics.com/upload/thumbnail/20200820110532/2020_08_20_15978894460244.jpg
Athenaeum of Malice,30,['Kay Raa '],"['BL', 'Fantasy']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/6366,https://thumb-g2.toomics.com/upload/thumbnail/20211129155632/2021_12_08_16389260055623.jpg
Reunion,42,['Dweryang '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5221,https://thumb-g1.toomics.com/upload/thumbnail/20200625151826/2020_07_08_15941917858864.jpg
Temptations,38,"['Yahannamja', 'Wolf Iri ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5215,https://thumb-g1.toomics.com/upload/thumbnail/20201113163327/2020_11_16_16055108908704.jpg
Love Me Gently,59,['SJCC '],"['Fantasy', 'Romance']",['Up'],https://toomics.com/en/webtoon/episode/toon/5598,https://thumb-g2.toomics.com/upload/thumbnail/20201130162844/2021_03_23_16164771153217.jpg
The Villain,154,['Kgar '],"['Action', 'School life']",[],https://toomics.com/en/webtoon/episode/toon/5046,https://thumb-g2.toomics.com/upload/thumbnail/20190527180236/2019_05_28_15590329774075.jpg
A Marriage for Sale,69,['dou bao gu '],"['Romance', 'Drama']",['End'],https://toomics.com/en/webtoon/episode/toon/6031,https://thumb-g1.toomics.com/upload/thumbnail/20210719160553/2021_08_26_16299449131193.jpg
Biting the Tiger,83,['Mindal Park '],"['BL', 'Romance']",['End'],https://toomics.com/en/webtoon/episode/toon/6047,https://thumb-g1.toomics.com/upload/thumbnail/20210720163224/2021_09_23_16323583178136.jpg
New Flavors,30,['Facon '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5672,https://thumb-g2.toomics.com/upload/thumbnail/20210715150857/2021_07_15_16263298875754.jpg
On the Emperor's Lap,91,"['USOI/Yujeong Ju, Miran Lee ']","['Romance', 'Drama']",[],https://toomics.com/en/webtoon/episode/toon/6044,https://thumb-g2.toomics.com/upload/thumbnail/20210720163025/2021_11_16_16370258141686.jpg
Crime and Punishment,40,"['Daktaryeong', 'Team Oldrock ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5023,https://thumb-g1.toomics.com/upload/thumbnail/20190107160011/2020_08_24_15982536865084.jpg
God of App,81,['Son of Dragon '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/2083,https://thumb-g1.toomics.com/upload/thumbnail/lcomics24/2020_03_18_15845228302931.jpg
Supernova,154,['Killer Whale '],"['School life', 'Action']",['Up'],https://toomics.com/en/webtoon/episode/toon/4626,https://thumb-g2.toomics.com/upload/thumbnail/20161223_thsusdmltlstjd/2020_08_18_15977321135694.jpg
Legend: The Beginning,188,"['Jung Giyoung', 'Lee Sihyeok ']","['Action', 'School life']",[],https://toomics.com/en/webtoon/episode/toon/253,https://thumb-g1.toomics.com/upload/thumbnail/20150410_head/2020_08_18_15977280672834.jpg
Payment Accepted,40,"['KOI', 'NARANYA ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5645,https://thumb-g1.toomics.com/upload/thumbnail/20210715114629/2021_07_15_16263287279012.jpg
Twice the Love,53,"['Siamtwins', 'Mask ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5123,https://thumb-g1.toomics.com/upload/thumbnail/20190626160214/2019_06_26_15615328075987.jpg
The Assistant,47,"['Siamtwins', 'Cyburg ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5349,https://thumb-g1.toomics.com/upload/thumbnail/20200820105935/2020_08_20_15978997822419.jpg
Help! My Boyfriend is a Monster,81,['yueyue '],['Romance'],['End'],https://toomics.com/en/webtoon/episode/toon/6030,https://thumb-g2.toomics.com/upload/thumbnail/20210719160525/2021_08_09_16284941152603.jpg
Bad Mom,17,['Yagwangtan '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5239,https://thumb-g1.toomics.com/upload/thumbnail/20201116124415/2020_11_26_16063700101961.jpg
My Wife's Students,27,['Facon '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5670,https://thumb-g2.toomics.com/upload/thumbnail/20210422174843/2021_04_22_16190821470393.jpg
Analogue,69,"['Sim Gyeongbo', 'Lee Dongcheol ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/4949,https://thumb-g1.toomics.com/upload/thumbnail/20190826113401/2019_09_18_15687752265891.jpg
Childhood Friends,30,"['Abyo4', 'Bolp. ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5202,https://thumb-g2.toomics.com/upload/thumbnail/20191206121049/2019_12_24_15771520531157.jpg
Dangerous Roomies,30,['Facon '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5762,https://thumb-g2.toomics.com/upload/thumbnail/20210331124958/2021_03_31_16171724272266.jpg
The Affair,40,"['Moonk', 'Ssome ']","['Romance', 'Drama']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5232,https://thumb-g2.toomics.com/upload/thumbnail/20200714101854/2020_07_14_15946897933179.jpg
Springtime for Blossom,34,"['JQ', 'Kanghyun Yeo ']","['Drama', 'School life']",['End'],https://toomics.com/en/webtoon/episode/toon/5062,https://thumb-g2.toomics.com/upload/thumbnail/20190311163944/2019_03_22_15532257807583.jpg
One Shot Men's Clinic,51,['Studio Moon '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5236,https://thumb-g2.toomics.com/upload/thumbnail/20200824125344/2020_09_02_15990310340019.jpg
Fallen Flower,60,"['Team Biyam', 'Kay ']","['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5219,https://thumb-g1.toomics.com/upload/thumbnail/20200519141635/2020_05_27_15905378184886.jpg
Between Us,30,"['Paldo Sung', 'Goinmul ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5342,https://thumb-g2.toomics.com/upload/thumbnail/20210222143715/2021_02_24_16141540489487.jpg
The Guest House,25,['Gorilla '],"['Drama', 'Romance']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5248,https://thumb-g2.toomics.com/upload/thumbnail/20201209093810/2020_12_09_16074759356742.jpg
The Lucky Guy,56,"['Siamtwins', 'Dokgo Kim ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5199,https://thumb-g1.toomics.com/upload/thumbnail/20200331124036/2020_03_31_15856266983285.jpg
The Stand-up Guy,56,"['Dolphin', '464 ']","['Drama', 'Comedy']","['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/4657,https://thumb-g1.toomics.com/upload/thumbnail/20170216_maaaaaaaan/2020_08_18_15977319784126.jpg
Entrapment,26,"['Chameung, S Ria', 'AYE ']",['Romance'],['End'],https://toomics.com/en/webtoon/episode/toon/5197,https://thumb-g1.toomics.com/upload/thumbnail/20191129102459/2019_11_29_15749928094725.jpg
Caught on Tape,30,['FACON '],['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5667,https://thumb-g1.toomics.com/upload/thumbnail/20210609125124/2021_06_29_16249503127172.jpg
My Sister's Secret Diary,32,"['Red P', 'Benny ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5222,https://thumb-g2.toomics.com/upload/thumbnail/20200716161229/2020_07_28_15958964907292.jpg
Dumped,52,"['KOI', 'Jota ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5358,https://thumb-g2.toomics.com/upload/thumbnail/20201015154900/2020_10_15_16027447101656.jpg
Maid,40,"['KOI', 'Back ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5343,https://thumb-g1.toomics.com/upload/thumbnail/20201022105321/2020_10_29_16039290101830.jpg
She Had You at Hello,58,['liang wei jiu '],"['Romance', 'Drama']",['End'],https://toomics.com/en/webtoon/episode/toon/6037,https://thumb-g1.toomics.com/upload/thumbnail/20210719162344/2021_08_25_16298749611031.jpg
Secret Hideout,52,"['AKA', 'Kim Myeongho ']",['Drama'],"['18+', 'End']",https://toomics.com/en/webtoon/episode/toon/5187,https://thumb-g1.toomics.com/upload/thumbnail/20191202112023/2019_12_02_15752536597973.jpg
Sponsor,37,['New Leap '],['Drama'],['18+'],https://toomics.com/en/webtoon/episode/toon/4868,https://thumb-g2.toomics.com/upload/thumbnail/20210803095031/2021_08_12_16287538363196.jpg
His Women's University,162,['Baek Jaehwan '],"['Drama', 'Romance']",[],https://toomics.com/en/webtoon/episode/toon/4991,https://thumb-g1.toomics.com/upload/thumbnail/20190124110951/2020_09_18_16003954549183.jpg
The Destroyer Fell in Love with Me,47,"['Dian, Haring, YounDal ']","['Romance', 'Drama']",[],https://toomics.com/en/webtoon/episode/toon/6042,https://thumb-g2.toomics.com/upload/thumbnail/20210720154443/2021_11_09_16364211838901.jpg
The Chart of Priest,130,['Gob '],"['BL', 'Romance']",['End'],https://toomics.com/en/webtoon/episode/toon/4911,https://thumb-g1.toomics.com/upload/thumbnail/20180629101854/2020_08_18_15977339606205.jpg
