title,item_id,link,cover,creators,genres,views,subscribers,likes,banner,details,tags,episodes,released
A Business Proposal,185490,https://tapas.io/series/a-business-proposal/info,https://d30womf5coomej.cloudfront.net/sa/63/5c482d20-3382-425d-bce7-7221e31e9fc4_z.jpg,"['Perilla', 'NARAK', 'Haehwa', 'Guava Farm']","['Romance', 'Drama', 'Comedy']","10,422,172 views","255,420 subscribers","739,065 likes",https://d30womf5coomej.cloudfront.net/sa/94/cf61e0fd-8771-4c15-825e-893ae3834467.jpg,"Ha-ri made a deal—go on one blind date for her BFF and pretend to be a super-vixen to end all of her unwanted marriage set-ups! Unfortunately, instead of easy money, Ha-ri’s got a headache. Her date is Taemu, her company’s hot new CEO, and he’s got his own plans to get his family to back off by marrying whoever shows up on the date. Should Ha-ri accept his proposal to keep playing pretend? Nothing could go wrong with lying about your real identity while dating the boss... right??",[],116,"Sep 11, 2020"
They Say I Was Born a King's Daughter,44304,https://tapas.io/series/tsiwbakd-comic/info,https://d30womf5coomej.cloudfront.net/sa/cc/59ffe0f5-2865-43df-8284-713e96c5abbb_z.jpg,"['Legna Kim', 'Bi Chu']","['Fantasy', 'Romance', 'Comedy']","10,323,198 views","195,861 subscribers","681,207 likes",https://d30womf5coomej.cloudfront.net/sa/e0/8d124517-409c-4953-99f6-90c1ad0d6cbc.jpg,"Comic based on the hit novel.

Royalty isn't all it's cracked up to be.

A murder victim is reborn, fully conscious of her past life, as a king’s unwanted daughter in a new world where despite the end of all wars and advancement of science, misogyny reigns. 

Adapted from the popular novel by Bi Chu.",[],269,"Oct 04, 2016"
Solo Leveling,202473,https://tapas.io/series/solo-leveling-comic/info,https://d30womf5coomej.cloudfront.net/sa/26/3011639e-c9af-4eb7-936c-a4b0868ea868_z.jpg,"['DUBU(REDICE STUDIO)', 'Chugong', 'h-goon']","['Action', 'Fantasy']","7,918,220 views","179,598 subscribers","674,692 likes",https://d30womf5coomej.cloudfront.net/sa/9c/c8dbb884-985d-4096-9951-f5eb6d0a6030.jpg,"There exist portals to another world. These “Gates” have become as commonplace as air and so too have the hunters that make a living slaying the creatures that reside within them. Among these hunters, Sung Jinwoo is an E-rank, the absolute weakest of the weak. But that won’t stop him from trying to grow stronger to provide for his loved ones.",[],181,"Apr 05, 2021"
Sparks,178084,https://tapas.io/series/Sparkscomic/info,https://d30womf5coomej.cloudfront.net/sa/c3/4e460314-275c-4778-aa7b-feb81dfb14fc_z.jpg,['revel'],"['BL', 'LGBTQ+', 'Fantasy']","5,950,607 views","35,739 subscribers","654,184 likes",https://d30womf5coomej.cloudfront.net/sa/6b/155812e2-f8a4-41fb-a2ac-5b044d837bab.png,"Graduation is only a few days away, and the days are numbered for Philo- a young Satyr about to finish dead last in his class. 
When he's paired together during training with Atlas- the aloof star student- a magical accident will set events into motion that neither of them could have possibly predicted.","['#magic', '#Fantasy', '#romance', '#mythology', '#queer', '#bl', '#satyr', '#boys_love', '#lgbtq', '#magic', '#Fantasy', '#romance', '#mythology', '#queer', '#bl', '#satyr', '#boys_love', '#lgbtq']",229,"May 19, 2021"
Indigents,65154,https://tapas.io/series/Indigents/info,https://d30womf5coomej.cloudfront.net/sa/1f/a8415be3-1549-4158-84b8-d7aab663bb08_z.png,['cassw'],"['LGBTQ+', 'Romance', 'Action', 'Drama']","7,410,847 views","35,017 subscribers","632,123 likes",https://d30womf5coomej.cloudfront.net/sa/e5/d31b3402-7dfe-4066-8ba3-5611b04a11f8.png,"Dakota and Kennedy are thrown together in a world ravaged by a single disease. Fast spreading and corrupting sanity, civilization was razed to the ground. For those fortunate to have immunity, life isn't easy. Avoiding the diseased is one thing, but without law and order  those left take complete advantage of a world they can now build for themselves. Stranded together in the ghost of the country they once knew, Dakota and Kennedy fight through whatever obstacles lay in their path, seeking peace and quiet and maybe something to eat.

Official update day is Fridays PST.
Follow me @ csswolfe on Twitter and IG for updates & Sneak Peeks.

( Concerning requests to translate and post Indigents, I do not give permission and will not give permission for Indigents to be posted anywhere else or by anyone but myself.)","['#gay', '#Action', '#romance', '#drama', '#zombies', '#queer', '#apocalypse', '#bl', '#boys_love', '#survival', '#lgbqt', '#post_apocalyptic', '#post_apocalypse', '#gay', '#Action', '#romance', '#drama', '#zombies', '#queer', '#apocalypse', '#bl', '#boys_love', '#survival', '#lgbqt', '#post_apocalyptic', '#post_apocalypse']",245,"Jun 24, 2021"
NON-NON,13119,https://tapas.io/series/NOT-NOT/info,https://d30womf5coomej.cloudfront.net/sa/69/8c8899dc-57b9-41a2-b4f4-75914a99f0ab_z.jpg,['Karla Diaz'],"['Romance', 'Comedy']","7,570,108 views","32,383 subscribers","583,875 likes",https://d30womf5coomej.cloudfront.net/sa/6b/9042b873-1dbd-48f2-9052-98137ac2a6d6.jpg,"""NO TALKING - NO TOUCHING!""
What happens when two strangers start developing a relationship only in their heads?

A girl who has a hard time with men meets a boy who is only focused on his school studies, yet as they sit across from each other at the park they become increasingly invested in each other lives and imagine romantic encounters.

https://www.facebook.com/karladiaz.artwork/","['#romance', '#comedy', '#Romans', '#latin', '#no_talking', '#No_Touching', '#Roman_Empire', '#romance', '#comedy', '#Romans', '#latin', '#no_talking', '#No_Touching', '#Roman_Empire']",339,"Aug 10, 2021"
CRUSH3D!!,62055,https://tapas.io/series/CRUSH3D/info,https://d30womf5coomej.cloudfront.net/sa/1f/db74972f-0083-4c8b-b8c8-bf731ed77e2f_z.jpg,['YAA'],"['BL', 'Drama', 'Comedy']","4,888,546 views","108,409 subscribers","583,824 likes",https://d30womf5coomej.cloudfront.net/sa/49/9d55cd2e-b129-4f73-9b2b-0a0ada3088d5.jpg,"[UPDATES: Mondays 11AM PST]
hockey hoodies & hangover hickeys

Genres: 
⦁Comedy ⦁Drama ⦁Sports ⦁Slow Burn Romance ⦁Slice of Life 

Subjects: 
◆Ice Hockey ◆Violence ◆LGBT+ ◆Mental Health 

After years of developing unhealthy coping strategies, Carter tries to unpause his life and make a comeback as a center, for the Renhain Deers. But his past and bad habits seem to always catch up to him and his personality and impulsiveness make it hard to fit into a construct like a team. Or friendship. Or love?

(For a mature audience. Please check the CW episode first before reading!)","['#love', '#relationship', '#gay', '#yaoi', '#manga', '#romance', '#drama', '#school', '#hockey', '#comedy', '#boys', '#High', '#sports', '#Ice', '#bl', '#crush', '#lgbt', '#sport', '#triangle', '#homo', '#polyamory', '#mm', '#skating', '#boyslove', '#crushed', '#shonenai', '#poly', '#carter', '#boarding', '#icehockey', '#hoho', '#yaa', '#himalayaa', '#yaatelier', '#Crush3d', '#crushe3d', '#flamboyaant', '#love', '#relationship', '#gay', '#yaoi', '#manga', '#romance', '#drama', '#school', '#hockey', '#comedy', '#boys', '#High', '#sports', '#Ice', '#bl', '#crush', '#lgbt', '#sport', '#triangle', '#homo', '#polyamory', '#mm', '#skating', '#boyslove', '#crushed', '#shonenai', '#poly', '#carter', '#boarding', '#icehockey', '#hoho', '#yaa', '#himalayaa', '#yaatelier', '#Crush3d', '#crushe3d', '#flamboyaant']",100,"Jan 15, 2020"
Magical Boy,103376,https://tapas.io/series/magicalboy/info,https://d30womf5coomej.cloudfront.net/sa/cc/024a13c0-27a8-4df4-b40c-69436e9be9eb_z.jpg,['The Kao'],"['LGBTQ+', 'Action', 'Comedy', 'Fantasy']","4,927,756 views","136,078 subscribers","558,532 likes",7,"Max is your average high school student trying to get through life as himself. He may not be your average boy, being assigned female at birth, but he's set on being the man he is. Though, trying to come out to his parents is one thing, his mom coming out as a Magical Girl is another. Now it is Max's responsibility to take on the family tradition of becoming the next Magical Girl and save humanity.",[],42,"Apr 21, 2018"
50 Tea Recipes from the Duchess,186412,https://tapas.io/series/50-tea-recipes-from-the-duchess/info,https://d30womf5coomej.cloudfront.net/sa/f0/5ad96574-7d08-4e58-9348-f97fa2932488_z.jpg,"['Antstudio', 'Lee Jiha']","['Romance', 'Fantasy']","4,890,387 views","78,968 subscribers","532,437 likes",https://d30womf5coomej.cloudfront.net/sa/ba/2d36add9-b34d-457a-a354-7603131517e3.jpg,"Duchess Chloé Battenberg is a spineless softy at the mercy of society snobs, disparaging servants, and a cold husband. When an office worker (and recovering pushover) awakens as Chloé, she can’t believe it. But she’s DONE with this pity party, so let's make it a tea party! Each cup is perfectly brewed to defeat prejudices and coffee-predilections—and served with a side of business savvy—but is it enough to stir her husband and bring Chloé the respect she deserves? Come spill the tea with Chloé!",[],135,"Oct 02, 2020"
Ultramarine Weather,20428,https://tapas.io/series/ultramarineweather/info,https://d30womf5coomej.cloudfront.net/sa/b0/dd9c78c0-24d2-43d8-ba44-5637b20dbd72_z.png,['Kan'],"['Drama', 'LGBTQ+', 'Fantasy']","4,499,787 views","30,238 subscribers","531,803 likes",https://d30womf5coomej.cloudfront.net/sa/9d/aa12ca0f-1915-4841-acff-237b9b63ae74.png,"Ultramarine Weather is a supernatural dramedy about weather and magic that takes place on a fictional island chain in 1974. When childhood friends Atlas and Jo rescue a washed up witch with missing memories, life gets a little less predictable---and so does the weather.

Updates here every other sunday, and multiple times per week on Patreon.","['#magic', '#drama', '#weather', '#supernatural', '#retro', '#witch', '#magic', '#drama', '#weather', '#supernatural', '#retro', '#witch']",307,"Jul 15, 2020"
This Villainess Wants a Divorce!,181820,https://tapas.io/series/this-villainess-wants-a-divorce/info,https://d30womf5coomej.cloudfront.net/sa/25/2472e4e1-1347-4e3e-a867-4e4ad0ccdd80_z.jpg,"['AhBin', 'Nokki']","['Romance', 'Fantasy']","5,515,076 views","130,634 subscribers","527,808 likes",https://d30womf5coomej.cloudfront.net/sa/a4/edde62ec-a9ce-4ac6-a4e1-483b92fa5599.jpg,"We all hate the greedy villains hell-bent on sabotage. Enter Carnelia Easter, the awful secondary villainess of the romance I’m reading, who trapped the prince in marriage at the behest of the evil empress. I didn’t shed a tear when her head’s lopped off, but now I’m Carnelia! I gotta play this smart and convince him to divorce me instead! Still, between the prince, the empress, the heroine, the second prince, my terrible health... this story’s getting unpredictable. Will I survive after all?","['#Reincarnation', '#novel', '#Reincarnation', '#novel']",123,"Aug 16, 2020"
Hold Me Tight,130480,https://tapas.io/series/holdmetight/info,https://d30womf5coomej.cloudfront.net/sa/52/11cd39d9-1156-4e35-b8dd-189a7bb8189a_z.jpg,"['Nabit ', 'SIREU']","['BL', 'Romance', 'Fantasy']","7,553,429 views","236,957 subscribers","524,352 likes",https://d30womf5coomej.cloudfront.net/sa/89/cfcb6a84-ab93-406c-89fb-53b56bd8339a.jpg,"Every day of Giovanni’s life has been cold. Despite scorching summers, sunny springs, despite being the president of an uber rich company, he is incapable of feeling warmth, numb to it all. Then, he met Felix. Shy and seemingly innocent, Felix’s touch is the first heat Giovanni’s felt in a lifetime. Lust or love, Giovanni hires him as his personal bodyguard, but are Felix’s true motives so warmhearted?",[],161,"Feb 04, 2019"
Finding Home,55594,https://tapas.io/series/FindingHome/info,https://d30womf5coomej.cloudfront.net/sa/48/48b308ef-d851-4f5f-add5-23c97f968c6b_z.jpg,['Hari'],"['LGBTQ+', 'Romance', 'Fantasy']","4,241,706 views","33,124 subscribers","518,593 likes",https://d30womf5coomej.cloudfront.net/sa/94/42bfdaf4-abb4-428f-8711-786af34d0813.jpg,"An award-winning slow-burn romance about learning to let yourself grow.

On a long journey, two very different people thrown together by circumstance end up growing much closer than they expected. 

Janek, a human cook who just wants to get back home to his old life, meets Chepi, a wandering fae healer haunted by memories of his past. As they get closer, they each find out there’s more to the other than meets the eye. But they're too different - it could never work between them... right?

Read 70+ pages ahead at http://www.patreon.com/haridraws

Get the books: http://www.etsy.com/shop/haridraws/?section_id=16426608
-----
Written & illustrated by Hari Conner -
https://twitter.com/haridraws
Edited by Claire Napier - https://twitter.com/illusClaire

Flower & character quick guide (includes some spoilers for volumes 1&2!) https://www.patreon.com/posts/finding-home-map-38643025

** Please note that this comic is 16+ guidance for romance and dark themes **
Pages with warnings marked M!","['#magic', '#Fantasy', '#romance', '#lgbt', '#magic', '#Fantasy', '#romance', '#lgbt']",257,"Aug 24, 2020"
Moving in,32014,https://tapas.io/series/Moving-in/info,https://d30womf5coomej.cloudfront.net/sa/37/68ace2e4-a4ca-49c9-9fab-e2a86ff7cefb_z.png,['SK6'],"['GL', 'Comedy']","6,105,568 views","50,902 subscribers","513,660 likes",https://d30womf5coomej.cloudfront.net/sa/6e/c2f799c0-606f-4558-bfa1-df46c6f7a1fc.png,This is a romantic comedy and everyday life about 2 girls that meet each other when one moves into the apartment complex where the other one is already living. One gets instant crush on the other and it'll be her adventure on getting her heart.,[],156,"May 17, 2021"
Adonis,43391,https://tapas.io/series/adonis/info,https://d30womf5coomej.cloudfront.net/sa/59/e79ffbe3-5889-4e82-902c-e3c91aca3ec0_z.jpg,"['Team Adonis', 'KEISHO', 'Gudang']","['Fantasy', 'Romance', 'Action']","6,524,592 views","171,029 subscribers","469,680 likes",https://d30womf5coomej.cloudfront.net/sa/e2/911638be-9142-4648-9285-fccc6567f73e.jpg,"Ianna and Arhad had much in common. They both only cared about themselves, and were madly obsessed with each other. The difference is one wanted the other's warmth, and the other wanted submission. 

Though Ianna's life ended in a heated battle against Arhad, the Kingdom's emperor, she is reincarnated into the same life for reasons unknown. 

Two people who faced misery in their previous life now have a chance to meet again. Will the same tragedy repeat itself, or can Ianna change the course of history?",[],192,"Sep 24, 2016"
The Monstrous Duke's Adopted Daughter,191178,https://tapas.io/series/the-monstrous-dukes-adopted-daughter/info,https://d30womf5coomej.cloudfront.net/sa/4d/5268de73-f36f-47a7-a90f-fd141f9da254_z.jpg,"['MinJakk', 'Liaran']","['Fantasy', 'Romance']","4,771,849 views","100,541 subscribers","469,182 likes",https://d30womf5coomej.cloudfront.net/sa/fd/931fdbc1-0511-4aad-ab4b-4112cf4722b7.jpg,"The Speràdo family line possesses a secret: shadow magic. But it’s been 100 years since someone last wielded it. When Marquis Speràdo tries to sacrifice Leslie for her favored sister Ellie, little does he know that this awakens the power of darkness in her instead. To escape her family’s greed and abuse, Leslie’s out to make a deal with the Monstrous Duke: adopt her, and her powers will be at the duke’s disposal. Will Leslie escape her parents’ cruel grip, or succumb to their evil exploits?",[],133,"Dec 07, 2020"
Beware the Villainess!,178651,https://tapas.io/series/beware-the-villainess/info,https://d30womf5coomej.cloudfront.net/sa/e8/6b3c62d4-7478-492b-83f4-8c59b60677fc_z.jpg,"['Berry', 'Blue Canna', 'Soda Ice']","['Romance', 'Drama', 'Comedy', 'Fantasy']","4,404,446 views","139,712 subscribers","444,871 likes",https://d30womf5coomej.cloudfront.net/sa/ad/c9243c8b-7ee7-49c1-8d9a-fb7c69e83178.jpg,"Sit back and take in this romantic tale of an angelic heroine and her devoted suitors as they vie for the depths of her love... or not. This story’s about to go through some edits! After an accident, a modern-day college student awakens as the story’s villainess, Melissa Foddebrat. She’s far from anyone’s favorite, but she IS the daughter of the duke. Determined to live it up, this new Melissa is doing things her way — antiquated society, be damned! All idiots, prepare to step aside or perish!","['#villainess', '#isekai', '#villainess', '#isekai']",97,"Jul 11, 2020"
"What's Wrong with You, Duke?",173471,https://tapas.io/series/whats-wrong-with-you-duke/info,https://d30womf5coomej.cloudfront.net/sa/85/d9db5e0f-2f0b-4fc5-aa57-2aa0158632fd_z.jpg,"['Eddie', 'Bandalbanji']","['Romance', 'Drama', 'Fantasy']","5,152,257 views","130,707 subscribers","442,989 likes",https://d30womf5coomej.cloudfront.net/sa/dd/c49982b4-d9cf-4698-9da2-34915db8b296.jpg,"The cruel Duke Dreux of Faucigny is a lovestruck puppy around Nöel — all thanks to a random magic spell that was cast just as he was about to execute her. But with the spell’s power now waning and on the fritz, his shifting moods zip from dramatic professions of eternal love to cold threats of death. Exhausted from the emotional whiplash, Nöel must find a magic spell to not only save herself but also her enchanting fairytale marriage before she loses her beloved and bewitched “Ru” forever.","['#Duke', '#romance_fantasy', '#Duke', '#romance_fantasy']",133,"May 15, 2020"
Villains Are Destined to Die,186414,https://tapas.io/series/villains-are-destined-to-die/info,https://d30womf5coomej.cloudfront.net/sa/ba/bd321b26-680a-4911-b675-94a41efce1bf_z.jpg,"['SUOL', 'Gwon Gyeoeul']","['Romance', 'Fantasy']","4,234,256 views","151,836 subscribers","438,974 likes",https://d30womf5coomej.cloudfront.net/sa/08/06b6f9cc-f06b-47a1-ad32-6a3cea32861e.jpg,"This game’s got me obsessed! It’s like it’s taken over my life... wait—HARD MODE ACTIVATED. No-no-no-no-no! It has literally taken me and thrown me into the part of Penelope Eckhart. Love is easy as the heroine, but as the hated villainess, I’m trying very hard not to die… at the hands of my brothers… the prince… a fork… every possible ending is death! This world is stacked against me, but can my wits and insider game knowledge score the affection of these male characters? Or the reset button???",[],96,"Oct 24, 2020"
My Secretly Hot Husband,186760,https://tapas.io/series/my-secretly-hot-husband/info,https://d30womf5coomej.cloudfront.net/sa/b2/7b5d783f-5f59-4409-9f03-194f9a6a3665_z.jpg,"['Harara ', 'Gabi Nam', 'Jungyeon']","['Romance', 'Fantasy']","4,500,257 views","168,443 subscribers","433,828 likes",https://d30womf5coomej.cloudfront.net/sa/96/8d266211-1417-46e9-bd31-8687724bf415.jpg,"Another lifetime, another hard life—Letitia’s misery continues as her uncle sends her off to the “Monster Lord” to fulfill an old pledge. Imp attacks! The three witches! A hideous masked devil hunter husband! Terrifying is an understatement. But as she becomes the lady of Halstead, the rumors fall apart. Lord Erden is caring, he likes bunnies, and that *gasp* perfect face under the mask! How can he not know he’s HOT? Can she help protect the castle from devils and help Erden see his true self?",[],77,"Oct 09, 2020"
